"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C10";"C_0603_1608Metric";1;"10uF";;;
2;"REF**,REF**";"MountingHole_2.1mm";2;"MountingHole_2.1mm";;;
3;",REF**,,REF**,REF**,REF**,REF**,REF**";"Mousebite";8;"Mousebite";;;
4;"J4,J5,J3,J2";"Molex_Picoflex_90814-0004_2x02_P1.27mm_Vertical";4;"Molex PicoFlex 90814";;;
5;"C9,C8,C5,C3";"C_0603_1608Metric";4;"100nF";;;
6;"C7,C6,C1";"C_0603_1608Metric";3;"1uF";;;
7;"U4,U3";"SOIC-8_3.9x4.9mm_P1.27mm";2;"DS18B20Z";;;
8;"CO2header1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Female";;;
9;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM-32D";;;
10;"BT1,BT2";"BatteryHolder_Keystone_2460_1xAA";2;"LS14500";;;
11;"R2";"R_0603_1608Metric";1;"10K";;;
12;"SW1,SW3,SW2";"SW_Push_1P1T_NO_6x6mm_H9.5mm";3;"SW_Push";;;
13;"C2";"Supercap-Dual-5V-8x16";1;"0.47F";;;
14;"U2";"DFN-6-1EP_3x3mm_P1mm_EP1.5x2.4mm";1;"Si7051-A20";;;
15;"R1";"R_0805_2012Metric";1;"100R";;;
16;"C4";"CP_Elec_8x10.5";1;"470uF";;;
17;"U5";"WEMOS_D1_mini_light";1;"WeMos_D1_mini_breakout";;;
18;"R10,R7,R6";"R_0603_1608Metric";3;"10k";;;
19;"R8";"R_0603_1608Metric";1;"4k7";;;
20;"R4,R3";"R_0603_1608Metric";2;"1K";;;
21;"Q2";"SOT-23";1;"PMV48XP,215 ";;;
22;"Q1";"SOT-23";1;"PMV48XP,215";;;
23;"JP1";"R_0201_0603Metric";1;"SolderJumper";;;
24;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"Female header";;;
25;"D2";"LED_0805_2012Metric";1;"GREEN_LED";;;
26;"D1";"LED_0805_2012Metric";1;"RED_LED";;;
